device,mobile Web,51.43%,Argentina
device,Desktop,48.57%,Argentina
num visita,oct/22,137900000,Argentina
num visita,Nov-22,136900000,Argentina
num visita,dec/22,143500000,Argentina
num visita,Jan-23,154600000,Argentina
num visita,Feb-23,131100000,Argentina
num visita,Mar-23,135400000,Argentina
country,Argentina,94.06%,Argentina
country,United States,0.71%,Argentina
country,Chile,0.64%,Argentina
country,Brazil,0.63%,Argentina
country,Mexico,0.52%,Argentina
Marketing Channels,direto,45.08%,Argentina
Marketing Channels,organic search,41.90%,Argentina
Marketing Channels,social,5.37%,Argentina
Marketing Channels,paid search,4.11%,Argentina
Marketing Channels,referencias,2.55%,Argentina
Marketing Channels,correio,0.93%,Argentina
Marketing Channels,mostrar propagandas,0.07%,Argentina
engagement,Monthly visits,135400000,Argentina
engagement,Monthly unique visitors,27090000,Argentina
engagement,Visits / Unique visitors,5.00,Argentina
engagement,Visit duration,489.00,Argentina
engagement,Pages per visit,9.64,Argentina
engagement,Bounce rate,30.98%,Argentina
Social Traffic,Youtube,44.47%,Argentina
Social Traffic,Whatsapp,21.17%,Argentina
Social Traffic,Facebook,18.98%,Argentina
Social Traffic,Instagram,6.91%,Argentina
Social Traffic,Twitter,3.58%,Argentina
Social Traffic,Other,4.89%,Argentina
Top publishers,outlook.live.com,20.99%,Argentina
Top publishers,poki.com,20.99%,Argentina
Top publishers,youtube.com,16.96%,Argentina
Top publishers,twitch.tv,11.19%,Argentina
Top publishers,infobae.com,4.84%,Argentina
Display Ad Network,Google Display,77.74%,Argentina
Display Ad Network,Amazon Ad System,9.79%,Argentina
Display Ad Network,blogger.com,6.89%,Argentina
Display Ad Network,others,5.62%,Argentina
Top Link Destinations,mercadolibre.com,55.53%,Argentina
Top Link Destinations,mercadopago.com.ar,11.27%,Argentina
Top Link Destinations,mlstatic.com,4.77%,Argentina
Top Link Destinations,whatsapp.com,3.16%,Argentina
Top Link Destinations,mercadolibre.cl,2.57%,Argentina
Advertisers,Outgoing ads,1051,Argentina
device,mobile Web,59.01%,Brasil
device,Desktop,40.99%,Brasil
num visita,oct/22,234100000,Brasil
num visita,Nov-22,244100000,Brasil
num visita,dec/22,256700000,Brasil
num visita,Jan-23,261500000,Brasil
num visita,Feb-23,22400000,Brasil
num visita,Mar-23,24800000,Brasil
country,Brazil,97.39%,Brasil
country,United States,0.70%,Brasil
country,China,0.66%,Brasil
country,India,0.12%,Brasil
country,Egypt,0.10%,Brasil
Marketing Channels,direto,37.08%,Brasil
Marketing Channels,organic search,37.26%,Brasil
Marketing Channels,social,5.09%,Brasil
Marketing Channels,paid search,17.93%,Brasil
Marketing Channels,referencias,1.49%,Brasil
Marketing Channels,correio,0.91%,Brasil
Marketing Channels,mostrar propagandas,0.24%,Brasil
engagement,Monthly visits,248000000,Brasil
engagement,Monthly unique visitors,60780000,Brasil
engagement,Visits / Unique visitors,4.08,Brasil
engagement,Visit duration,471.00,Brasil
engagement,Pages per visit,7.27,Brasil
engagement,Bounce rate,38.43%,Brasil
Social Traffic,Youtube,43.25%,Brasil
Social Traffic,Whatsapp,29.35%,Brasil
Social Traffic,Facebook,15.89%,Brasil
Social Traffic,Instagram,4.72%,Brasil
Social Traffic,Twitter,2.16%,Brasil
Social Traffic,Other,4.62%,Brasil
Top publishers,youtube.com,33.87%,Brasil
Top publishers,globo.com,9.33%,Brasil
Top publishers,google.com,7.37%,Brasil
Top publishers,webstech.online,4.49%,Brasil
Top publishers,uol.com.br,2.69%,Brasil
Display Ad Network,Google Display,90.78%,Brasil
Display Ad Network,Criteo,4.34%,Brasil
Display Ad Network,Taboola,3.17%,Brasil
Display Ad Network,others,1.72%,Brasil
Top Link Destinations,mercadolibre.com,65.16%,Brasil
Top Link Destinations,mercadopago.com.ar,7.17%,Brasil
Top Link Destinations,mlstatic.com,7.24%,Brasil
Top Link Destinations,google.com,2.47%,Brasil
Top Link Destinations,starplus.com,2.11%,Brasil
Advertisers,Outgoing ads,124000,Brasil
